339355 - Bechs ApS;;;;;;;;;;
Salg » Opsætning »;;;;;;;;;;
Varer;;;;;;;;;;
;;;;;;;;;;
Nr.;Navn;Gruppe;Salgspris;Kostpris;På lager;I ordre;Til rådighed;Bestilt;;
itpe6;Il Cucchetto 2007;11;110,00;0,00;0,00;0,00;0,00;0,00;;
itpe8;Il Cucchetto 2008;11;110,00;63,39;462,00;0,00;462,00;0,00;;
itfo5;Il Grande Montepulciano D'Abruzzo 2011;11;54,00;24,79;72,00;0,00;72,00;0,00;;
itsa4;"IS Arenas ""Carignano del Sulcis"" 2009";11;108,00;55,83;60,00;0,00;60,00;0,00;;
itsa3;"IS Solus ""Carignano del Sulcis"" 2011";11;63,00;3,80;-30,00;0,00;-30,00;0,00;;
frje;Jeff Carrel;11;0,00;0,00;0,00;0,00;0,00;0,00;;
frjo;Jonquieres;11;0,00;0,00;0,00;0,00;0,00;0,00;;
frjo2;Jonquieres Baronis 2001;11;0,00;0,00;0,00;0,00;0,00;0,00;;
frun2;Junior Cinq Hardit Bordeaux 2010 6 fl i trækasse;17;0,00;0,00;0,00;0,00;0,00;0,00;;
frun1;Junior Cinq Hardit+La Dame de Laussac 6 fl i trlkasse;17;0,00;0,00;0,00;0,00;0,00;0,00;;
itnu3;La Bruciata dry moscato;11;60,00;26,87;162,00;0,00;162,00;0,00;;
itnu4;La Bruciata sweet moscato 5,5%;10;60,00;27,61;192,00;0,00;192,00;0,00;;
sppe1;La Canada PX 40 års;14;245,00;151,77;108,00;0,00;108,00;0,00;;
sppe11;La Canada PX 40 års i trækasse;14;295,00;185,25;36,00;0,00;36,00;0,00;;
spfi7;La Estacada Syrah-Merlot;11;85,00;43,52;102,00;0,00;102,00;0,00;;
frfo11;La Ricoune cotes du rhone village 2012;11;62,00;26,71;379,00;0,00;379,00;0,00;;
arvu2;La Vuelta Merlot;12;47,00;15,95;654,00;0,00;654,00;0,00;;
arvu1;La Vuelta Sauvignon Blanc;12;47,00;15,95;936,00;0,00;936,00;0,00;;
frlbo7;Lagrange de Lescure;11;0,00;0,00;0,00;0,00;0,00;0,00;;
øsmu4;Laurenz;11;72,00;35,04;72,00;0,00;72,00;0,00;;
frcl1;Le Mas;11;0,00;0,00;0,00;0,00;0,00;0,00;;
itpe7;Leopoldino 2010;11;70,00;0,00;0,00;0,00;0,00;0,00;;
itpe3;Leopoldino 2011;11;70,00;33,75;60,00;0,00;60,00;0,00;;
frpi6;Les Aspres 2011;11;180,00;0,00;0,00;0,00;0,00;0,00;;
frpi8;Les Aspres 2012;11;180,00;0,00;0,00;0,00;0,00;0,00;;
frpi12;Les Aspres 2013;11;180,00;13,00;-24,00;0,00;-24,00;300,00;;
frai1;Les Combelles;11;43,00;0,00;0,00;0,00;0,00;0,00;;
frma2;Les Crestes;11;0,00;0,00;0,00;0,00;0,00;0,00;;
frro;Les Fournières 2009;11;40,00;14,89;285,00;90,00;195,00;0,00;;
frfe2;Les Fruites 2012;11;42,00;0,00;0,00;0,00;0,00;0,00;;
frcl2;Les Garriques;11;0,00;34,00;0,00;0,00;0,00;0,00;;
Lev;LEVERET D;2;150,00;0,00;-96,00;0,00;-96,00;0,00;;
frfo8;L'Or du Sud Cabernet Sauvignon 2012;11;39,00;11,93;180,00;0,00;180,00;0,00;;
frfo3;L'Or du Sud Chardonnay 2013;11;39,00;11,90;433,00;0,00;433,00;0,00;;
frfo5;L'Or du Sud Merlot 2013;11;39,00;0,00;0,00;0,00;0,00;0,00;;
frfo4;L'Or du Sud Syrah 2013;11;39,00;11,90;301,00;0,00;301,00;0,00;;
spbu1;LOS 800 - 2010;11;74,00;36,24;1.050,00;72,00;978,00;0,00;;
sppe5;Los Amigos Fino;14;49,00;21,16;48,00;0,00;48,00;0,00;;
sppe6;Los Amigos PX;14;69,00;32,31;168,00;0,00;168,00;0,00;;
frpu3;Loup du Pic hvid/rose;11;0,00;36,00;0,00;0,00;0,00;0,00;;
itma6;Lugana DOC 2013;11;68,00;0,00;0,00;0,00;0,00;0,00;;
itnu1;Manzone Barolo 2008;11;125,00;78,37;120,00;0,00;120,00;0,00;;
itnu2;Manzone Barolo 2009;11;125,00;78,37;166,00;3,00;163,00;0,00;;
frma;MARCILLAC;11;0,00;0,00;0,00;0,00;0,00;0,00;;
itma13;Marion 2008 3 L.;11;1.400,00;1.006,86;0,00;0,00;0,00;0,00;;
itma;Marion 2009 MAGNUM;19;600,00;61,50;-1,00;0,00;-1,00;0,00;;
itma2;Marion Amarone 2009;11;310,00;0,00;0,00;0,00;0,00;0,00;;
itma24;Marion Amarone 2010;11;310,00;201,19;264,00;0,00;264,00;0,00;;
itma30;Marion Amarone 2011;11;310,00;0,00;0,00;0,00;0,00;120,00;;
itma20;Marion Calto 2007;11;195,00;0,00;0,00;0,00;0,00;0,00;;
itma17;Marion Teroldego 2009;11;170,00;0,00;0,00;0,00;0,00;0,00;;
itma12;Marion Teroldego 2009 Magnum;19;390,00;0,00;0,00;0,00;0,00;0,00;;
itma25;Marion Teroldego 2010;11;170,00;104,37;42,00;42,00;0,00;0,00;;
itma33;Marion Teroldego 2011;11;170,00;0,00;0,00;0,00;0,00;240,00;;
itma34;Marion Valpolicella Borgomarcellise 2013;11;64,00;0,00;0,00;0,00;0,00;600,00;;
itma35;Marion Valpolicella Superiore 2011;11;150,00;0,00;0,00;0,00;0,00;240,00;;
